500
35
0.378,2.611,0.945,1.839,2.142,1.912,2.99,4.158,0.203,3.807,4.549,2.117,4.748,3.483,0.38,0.598,1.385,3.734,4.219,0.0,3.787,1.643,3.181,3.947,0.363,2.892,0.126,0.308,0.965,0.239,3.184,2.963,2.201,1.031,2.024
2.948,4.962,4.618,1.409,4.373,0.969,2.022,3.314,0.465,4.062,0.718,1.625,2.344,3.95,0.272,2.704,4.139,1.968,0.364,2.889,0.0,1.014,3.243,4.422,0.61,4.518,3.244,3.559,4.672,4.668,2.215,2.726,4.779,3.445,2.477
3.809,0.888,1.705,4.14,1.894,0.501,3.506,4.615,2.637,4.132,2.877,3.987,2.863,4.531,0.813,3.169,3.427,2.103,0.475,4.139,4.475,0.0,0.345,1.58,0.23,1.28,1.749,3.306,0.402,1.036,1.518,1.479,0.105,3.237,4.265
2.133,0.481,2.134,2.066,0.258,1.38,4.612,3.051,0.584,3.819,1.475,2.225,1.715,0.482,4.467,3.08,0.805,2.224,1.387,2.723,4.833,4.765,0.0,3.742,3.584,3.689,3.941,0.247,3.123,1.285,0.609,3.64,2.67,2.839,3.991
1.638,4.802,1.515,0.236,0.547,4.064,3.198,4.953,4.298,2.384,2.954,4.447,4.893,3.373,0.376,4.438,2.412,2.329,1.34,0.403,2.483,3.15,1.218,0.0,3.249,4.444,1.581,0.661,3.677,1.432,3.529,0.46,1.888,1.666,4.593
0.814,4.635,4.036,0.779,3.041,2.312,0.887,2.798,1.222,3.031,1.265,0.948,3.869,0.588,1.353,1.514,1.72,1.605,4.44,2.934,1.088,0.61,1.201,4.958,0.0,3.247,3.568,4.183,4.808,4.013,3.239,4.27,1.459,2.997,2.03
1.691,2.349,0.549,1.229,4.346,0.91,4.407,0.953,3.338,2.197,0.599,0.633,2.706,4.817,2.469,4.049,1.664,4.197,0.407,3.359,1.881,4.283,1.636,3.486,0.593,0.0,1.105,1.374,2.277,3.497,3.066,3.955,2.588,0.554,1.093
0.386,3.409,4.36,2.467,3.105,4.503,1.137,4.634,1.468,3.44,3.725,3.647,4.05,1.21,4.721,4.353,2.145,2.955,4.431,1.686,1.8,1.628,2.419,1.205,1.471,4.773,0.0,2.353,4.139,3.797,2.645,1.588,2.948,0.242,1.342
0.569,1.608,2.513,4.875,0.82,2.724,2.29,4.297,3.201,1.212,1.739,1.0,0.433,2.625,2.765,1.148,2.359,0.785,4.542,1.84,3.681,1.602,3.325,1.246,4.412,4.62,0.151,0.0,0.665,0.54,0.476,0.557,4.902,1.552,0.786
1.847,1.752,0.538,4.59,3.44,3.173,1.82,3.822,1.137,4.662,2.261,0.907,1.895,2.991,1.94,0.266,3.522,2.074,1.678,2.664,2.141,0.151,4.318,3.819,2.512,4.2,0.998,1.577,0.0,4.978,2.839,3.45,3.179,2.823,2.049
1.19,1.212,1.299,3.24,3.824,1.937,3.59,2.573,4.218,2.241,1.695,3.616,0.582,4.834,3.249,4.694,1.834,4.195,3.682,2.106,0.113,2.434,3.243,1.888,1.2,0.455,2.588,3.855,2.026,0.0,0.433,3.432,2.081,2.305,4.937
1.066,0.24,3.337,0.283,1.891,4.666,0.995,2.794,4.403,0.323,1.875,0.927,4.788,4.021,0.498,1.084,4.995,0.688,1.677,1.605,2.282,1.216,1.608,0.635,1.257,3.79,3.573,1.47,0.343,2.531,0.0,1.531,4.351,1.028,0.228
2.237,1.264,4.623,3.223,1.354,4.621,1.127,2.493,0.837,3.042,0.365,0.144,4.353,1.362,1.487,0.81,3.648,4.771,3.47,4.51,0.956,2.321,1.9,2.083,2.34,2.978,1.564,4.147,1.052,4.117,1.186,0.0,3.004,2.722,4.455
3.674,1.629,2.75,1.916,2.072,0.629,3.138,2.22,3.551,4.877,1.282,4.236,4.904,0.425,4.043,0.741,0.561,2.358,2.539,4.534,4.05,3.429,2.037,4.63,0.772,3.214,1.886,3.891,4.005,4.939,2.018,4.276,0.0,4.244,0.876
1.449,3.081,2.92,3.73,0.618,1.458,2.767,4.669,3.018,4.081,1.55,1.265,2.568,4.44,4.549,1.707,4.191,0.618,1.622,1.096,2.821,1.315,4.524,2.532,0.125,3.275,1.694,3.769,2.755,0.939,0.269,3.618,4.013,0.0,0.67
0.178,0.355,3.508,3.653,4.88,3.618,2.395,3.091,0.195,1.374,4.659,1.777,0.192,3.722,2.684,1.438,1.541,1.968,4.497,4.709,1.174,4.635,1.066,3.945,0.221,4.859,3.329,3.829,3.598,4.896,3.421,1.882,4.91,4.799,0.0
5000.0
800
